CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,NOMGEO,PLANO,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,mrb_dist,Name_2,descript_1,timestamp_,begin_2,end_2,altitude_1,tessella_1,extrude_2,visibili_1,drawOrder_,icon_2
"0900903010100800","09","009","0301","0100","800",El Tejocote,Croquis,Área de Influencia Indirecta,,,,,,"1","0","-1",,,"2000",,,,,,,,,,,
"0900903020100800","09","009","0302","0100","800",Ejidos Tecoxpa,No,Área de Influencia Indirecta,,,,,,"1","0","-1",,,"2000",,,,,,,,,,,
"0900903030100800","09","009","0303","0100","800",Arboledas,Si,Área de Influencia Indirecta,,,,,,"1","0","-1",,,"2000",,,,,,,,,,,
"0900903040100800","09","009","0304","0100","800",Emiliano Zapata (Camino al Cerro),Croquis,Área de Influencia Indirecta,,,,,,"1","0","-1",,,"2000",,,,,,,,,,,
"0900903810100800","09","009","0381","0100","800",El Santanero,No,Área de Influencia Indirecta,,,,,,"1","0","-1",,,"2000",,,,,,,,,,,
"0901100691198800","09","011","0069","1198","800",San Miguel,Croquis,Zona de Amortiguamiento,,,,,,"1","0","-1",,,"500",,,,,,,,,,,
"0901100761198800","09","011","0076","1198","800",Ojo de Agua,Croquis,Zona de Amortiguamiento,,,,,,"1","0","-1",,,"500",,,,,,,,,,,
"0901100811198800","09","011","0081","1198","800",San Miguel (Chinampas),Croquis,Zona de Amortiguamiento,,,,,,"1","0","-1",,,"500",,,,,,,,,,,
"0901100861198800","09","011","0086","1198","800",Xila,Croquis,Área Núcleo,,,,,,,,,,,,Ciudad Juárez,,,,,,"1","0","-1",,
"0901100871198800","09","011","0087","1198","800",Axolocalco (Prolongación Santa Cruz),No,Área Núcleo,,,,,,,,,,,,Ciudad Juárez,,,,,,"1","0","-1",,
"0901101031198800","09","011","0103","1198","800",Paraje Xometitla,Croquis,Zona de Amortiguamiento,,,,,,"1","0","-1",,,"500",,,,,,,,,,,
"0901101041198800","09","011","0104","1198","800",San Ignacio de Loyola,Si,Área Núcleo,,,,,,,,,,,,Ciudad Juárez,,,,,,"1","0","-1",,
"0901101081179800","09","011","0108","1179","800",Paraje Ayecac,Croquis,Área de Influencia Directa,,,,,,"1","0","-1",,,"1000",,,,,,,,,,,
"0901101111198800","09","011","0111","1198","800",Chinampas Tetelco,Croquis,Área de Influencia Directa,,,,,,"1","0","-1",,,"1000",,,,,,,,,,,
"0901101131198800","09","011","0113","1198","800",Lomas de Xocotlán,Croquis,Zona de Amortiguamiento,,,,,,"1","0","-1",,,"500",,,,,,,,,,,
"0901101601198800","09","011","0160","1198","800",Las Nieves (Almoloya),Croquis,Zona de Amortiguamiento,,,,,,"1","0","-1",,,"500",,,,,,,,,,,
"0901101631179800","09","011","0163","1179","800",El Llano,Croquis,Área de Influencia Indirecta,,,,,,"1","0","-1",,,"2000",,,,,,,,,,,
